Year,Month,Day,DayOfWeek,Airline,FlightNumber,OriginAirport,DestAirport,SchedDepTime,DepDelay,ArrDelay,Cancelled,Diverted,Distance
2016,8,5,6,WN,5754,ORD,MIA,03:22,169,168,False,False,2411
2019,7,3,1,WN,9736,DFW,DFW,09:58,13,23,False,False,2852
2016,7,3,3,F9,5535,ORD,ORD,19:49,168,168,False,False,291
2017,3,15,1,UA,7882,MIA,SEA,22:39,15,31,False,False,257
2016,12,21,5,NK,9347,SFO,JFK,23:52,103,120,False,False,369
2019,6,6,1,NK,9731,LGA,LGA,12:03,82,79,False,False,2943
2016,5,14,4,DL,3600,MIA,LAX,23:30,110,105,False,False,1440
2017,1,2,3,WN,8275,ATL,DEN,09:27,92,108,False,False,2883
2019,12,26,2,B6,4576,MIA,DEN,21:43,119,134,False,False,1202
2018,3,27,3,B6,2745,SFO,LAX,22:53,83,73,False,False,271
2019,7,11,2,NK,2858,LAX,LAX,23:38,127,132,False,False,2864
2019,9,1,7,F9,9615,SEA,DFW,03:04,100,99,False,False,1971
2016,12,26,5,WN,9192,LAX,DFW,07:49,30,41,False,False,409
2019,2,15,7,AS,2929,DEN,MIA,14:26,34,29,False,False,2152
2016,4,24,2,DL,796,DFW,ORD,04:39,169,184,False,False,2904
2017,12,1,3,F9,9315,ATL,LAX,07:41,101,101,False,False,1600
2017,12,21,5,B6,9524,SFO,LGA,01:37,15,27,False,False,2608
2016,12,8,3,WN,872,LGA,ATL,20:56,64,69,False,False,536
2019,6,18,3,AA,8099,SFO,SFO,11:57,151,149,False,False,531
2016,11,12,1,B6,9854,SFO,LGA,02:47,15,16,False,False,2191
2018,8,2,4,B6,2131,ATL,DFW,11:57,175,173,False,False,1205
2018,4,27,3,WN,3445,SFO,DEN,10:09,47,40,False,False,1973
2017,2,19,3,F9,6310,LAX,LAX,21:05,158,148,False,False,228
2017,4,25,7,WN,315,SFO,ATL,15:41,119,136,False,False,2772
2018,10,11,7,NK,4306,SEA,SFO,21:16,71,71,False,False,1319
2015,3,24,6,DL,3907,MIA,LAX,01:36,143,149,False,False,2057
2019,11,28,3,AS,1517,LGA,ATL,03:35,46,41,False,False,394
2017,9,4,7,WN,3925,ORD,LGA,19:53,113,129,False,False,483
2016,5,3,7,WN,6720,LGA,MIA,18:45,106,96,False,False,2009
2018,10,19,7,F9,2569,JFK,LAX,07:02,118,109,False,False,2328
2018,6,1,2,AS,517,SEA,ATL,23:07,87,106,False,False,211
2018,8,17,5,AS,6082,LGA,MIA,01:20,178,183,False,False,2935
2018,6,15,2,B6,9396,MIA,LAX,05:45,58,66,False,False,2105
2015,1,28,6,WN,8562,SEA,ATL,23:38,115,121,False,False,687
